Award Year,Organization Receiving Award,Use of Funds,Award Type,Amount,Type of Assistance
FY2021,"Trails inn llc / PLR Properties, LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Soul Rod Kustomz, LLC / Jim and Phyllis Richards Family, LLC",Commercial Rent Relief,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,Mexico Lindo Inc. / Sunset Center Station LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Underwater Audio LLC / Lipman Building LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,24FPS Inc. / Lipman Building LLC,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"J.A.M.M. Fitness LLC / Timberhill Shopping Center, LLC",Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,"Nirvana Indian restaurant / Timberhill Shopping Center, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Cedar and Sage / EPICURE HOLDINGS LLC,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Beauty Culture Salon, LLC / EPICURE HOLDINGS LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,Allies & Mentors LLC / EPICURE HOLDINGS LLC,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,BHCCorals / EPICURE HOLDINGS LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,TropicanX Cafe / EPICURE HOLDINGS LLC,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,LYJ LLC / Phillips Edison & Company,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Splendid Barre LLC / Pinion Property Management, Inc.",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Martin Management, Inc /",Commercial Rent Relief,Grant,29000,Commercial Rent Relief and Operational Assistance
FY2021,So Fly Hair Salon / Washington Street Plaza LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Zheng's Inc New China Buffet DBA / Heiken Investments, LLC",Commercial Rent Relief,Grant,72000,Commercial Rent Relief and Operational Assistance
FY2021,yoga corvallis / United Global Investments LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Dial H for Hair Salon LLC / 146 Investment Company,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,J & E Oriental LLC /,Commercial Rent Relief,Grant,31000,Commercial Rent Relief and Operational Assistance
FY2021,Dragonfly Pacific Inc. / Little Blitzen River LLC,Commercial Rent Relief,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,LeRuby LLC DBA barre3 Corvallis / Little Blitzen River LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"KDL Fitness LLC dba Anytime Fitness / Kings Road Properties, LLC",Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,"Castor LLC / Pinion Property Management, Inc.",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,Stargazer Premier Florist / Wanda P. Teazis,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,SNJIN INC DBA SHOGUN BOWL / Donald S. Wirth,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Sibling Revelry, Inc / 145 Second LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Corvallis Tacovore LLC / Timberhill Shopping Center, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,New Morning Bakery Inc. / Barnum Lodge #7,Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Grass Roots Books & Music / Barnum Lodge #7,Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"Sugar js LLC / Marysville Properties, LLC",Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,Bodhi Juice LLC / Allan Stuart Properties LLC.,Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,Kim's ProNails /,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Tian Fu Noodle LLC / Cobblestone Square & apartments,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"nail and spa center / Triple C Investors, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Olufson Designs LLC / Barnum Lodge #7,Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,"Pacific Hearing Services / Keizer Enterprises, LLC",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"MTO LLC DBA: The Brass Monkey / Marysville Properties, LLC",Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,angry beaver grill #1 / 7Orcas LLC,Commercial Rent Relief,Grant,46000,Commercial Rent Relief and Operational Assistance
FY2021,PacifiCraft LLC /,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,Flame Mountain BBQ Inc / Bluestone and Hockley Realty Inc.,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"Ukiah Partnership / Goldfinch Real Estate, LLC",Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Winton Capstone Inc. / Goldfinch Real Estate, LLC",Commercial Rent Relief,Grant,27000,Commercial Rent Relief and Operational Assistance
FY2021,"Bodhi Juice LLC / Beamer Properties, LLC",Commercial Rent Relief,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,"Ai Ramen LLC / Triple C Investors, LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,Massage Therapy / Tally Ho LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Planet Fitness / Triple C Investors, LLC",Commercial Rent Relief,Grant,51000,Commercial Rent Relief and Operational Assistance
FY2021,Oregon Permanent Makeup / Tally-Ho LLC.,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Crystals King Of Falafel / Cobblestone Square & apartments,Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,pita pit corvallis/ pita pete llc / Cobblestone Square & apartments,Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Peck, INC / Jefferson Place, LLC",Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,El Patron / El Presidente I Salem LLC,Commercial Rent Relief,Grant,74000,Commercial Rent Relief and Operational Assistance
FY2021,"DKTAYLORS LLC / Keizer Enterprises, LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Yogurt Extreme on Circle, LLC / Jefferson Place, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"The Howard Martin Firm / Hoof Warehouse, LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Amorphyx, Inc. /",Commercial Rent Relief,Grant,40000,Commercial Rent Relief and Operational Assistance
FY2021,"Nunez Cocina, LLC DBA La Rockita / Jefferson Place, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Oregon Physical Therapy at Timberhill / Timberhill Sports LLC,Commercial Rent Relief,Grant,31000,Commercial Rent Relief and Operational Assistance
FY2021,"Shari's Management Corporation / Dieringer's Properties, Inc.",Commercial Rent Relief,Grant,91000,Commercial Rent Relief and Operational Assistance
FY2021,"Oregon Investigations Team, LLC / Ascent Ventures, LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,The Crafty Mercantile / Opal Center for Arts and Education,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Emerald Fitness Club LLC / Pliska Investments LLC,Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,PANACEA BARBERSHOP & LOUNGE LLC / Cuddeback Investment Property Inc.,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Big Ocean Inc /,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Goggins Enterprises, Inc. 1 DBA SUBWAY / PKRK LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Pressed coffee llc / Hard8, LLC",Commercial Rent Relief,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,"Sweeny's Pub / Sunridge Partners, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Addictive llc / Busbarn llc,Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,"Emurgent Care, LLC / Sunridge Partners, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Dawn's Yoga Studio /Dallas Yoga / PMC Trust,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,National Wu Ying Tao Inc (DBA) Team Ezra / Chinook Investment Company,Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"BOW AND ARROW COFFEEHOUSE LLC / M & B Properties, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"CRN Excavation, Inc. / Emmert Development",Commercial Rent Relief,Grant,43000,Commercial Rent Relief and Operational Assistance
FY2021,Parrothead Enterprises Inc / Chinook Investment Company,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Groomingdales Pet Pawlor LLC / M & B Properties, LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,PNW PREMIER COSMETIC TATTOO & HAIR LLC / Chinook Investment Company,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,The By-Pass Bar & Grill LLC /,Commercial Rent Relief,Grant,76000,Commercial Rent Relief and Operational Assistance
FY2021,"D, K & VA, LLC. /",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,Barn Door Brewing / Kropf Rohweder,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Boundless Assistive Technology, LLC / Bridgeport Woods Business Park, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,The Real Estate Group LLC dba Windermere Bridgeport Realty Group / Kalberer Company,Commercial Rent Relief,Grant,66000,Commercial Rent Relief and Operational Assistance
FY2021,Currin Construction llc /,Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,Expozed Ink /,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Crescendo Dance Studio /,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Oldflower Bier Company, Inc dba The Bier Stein Bottleshop and Pub / Bier Dreams LLC",Commercial Rent Relief,Grant,85000,Commercial Rent Relief and Operational Assistance
FY2021,"Nulia, Inc. / Spring Properties, Inc.",Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,"WildCraft Cider Works Inc. / Alder Park Apartments, LLC DBA Eugene Planing Mill",Commercial Rent Relief,Grant,28000,Commercial Rent Relief and Operational Assistance
FY2021,Eye Beam Event Services INC. / CEIP LLC,Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,"Inyan, Inc. DBA: New Frontier Market / 329 Two LLC",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,Aimroc Inc / N/A,Commercial Rent Relief,Grant,25000,Commercial Rent Relief and Operational Assistance
FY2021,"Drumrongthai LLC / Katz Family Properties, Inc.",Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,Party LLC dba Party Downtown / DBP LLC,Commercial Rent Relief,Grant,37000,Commercial Rent Relief and Operational Assistance
FY2021,"Triangle Graphics, Inc /",Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Lin's Empire INC / Myrmo Investments, LLC",Commercial Rent Relief,Grant,49000,Commercial Rent Relief and Operational Assistance
FY2021,"Entertainment Systems Unlimited / Bell Real Estate, Inc.",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"Oregon Academy of Tattooing and Fine Art, LLC /",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Lydian LLC, DBA Poppi's Anatolia / Dubs Investments LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"The Webfoot Bar and Grill / PM Commercial Enterprises, LLC",Commercial Rent Relief,Grant,33000,Commercial Rent Relief and Operational Assistance
FY2021,marntod concepts LLC / Coburg Station LLC,Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,CP Eugene LLC / Coburg Station LLC,Commercial Rent Relief,Grant,23000,Commercial Rent Relief and Operational Assistance
FY2021,"Syndicate Media Group, LLC / Woolworth Properties",Commercial Rent Relief,Grant,42000,Commercial Rent Relief and Operational Assistance
FY2021,Wild Light Yoga Center LLC / Hood Family LLC,Commercial Rent Relief,Grant,27000,Commercial Rent Relief and Operational Assistance
FY2021,"NorthWest Burgers LLC / Obie Companies, Inc.",Commercial Rent Relief,Grant,38000,Commercial Rent Relief and Operational Assistance
FY2021,"Get Air Eugene, LLC / Obie Companies, Inc.",Commercial Rent Relief,Grant,99000,Commercial Rent Relief and Operational Assistance
FY2021,"McKenzie Brewing Company / Obie Companies, Inc.",Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,STRETCHSHAPES NET LLC / Fargo LLC,Commercial Rent Relief,Grant,50000,Commercial Rent Relief and Operational Assistance
FY2021,Park Street Cafe / Smeede Hotel Building Partnership,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Oyaziya LLC / Bertelsen investments.,Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,"Perugino, LLC / Smeede Hotel Building Partnership",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Empower Fitness LLC / CV Holdings LLC, an Oregon Limited Liability Co.",Commercial Rent Relief,Grant,69000,Commercial Rent Relief and Operational Assistance
FY2021,"Wild Duck Cafe / Skybox PropCo, LLC",Commercial Rent Relief,Grant,26000,Commercial Rent Relief and Operational Assistance
FY2021,"6th Street Grill / DIamond Parking, Inc.",Commercial Rent Relief,Grant,44000,Commercial Rent Relief and Operational Assistance
FY2021,"UME GRILL AND CAFE LLC / Katz Family Properties, Inc.",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Artistic Outlet Media / Very Serious Business, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Phoenix Business Solutions LLC / Knoll, LLC",Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,"Beach Poker Inc / Schaffner Properties, LLC",Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,"CR Squared, / Churchill Shopping Center LLC",Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,"ANGKOR SS LLC / Cass Cochran, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"October 17 LLC / R2M Properties, LLC & M&M Rentals, LLC",Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,White Lotus Gallery / Smeede Hotel Building Partnership,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Fire and Rod LLC / Gribskov Investments LLC,Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"TLH, LLC / LBB Properties LLC",Commercial Rent Relief,Grant,69000,Commercial Rent Relief and Operational Assistance
FY2021,"Nice Tie Dye LLC / Beam Properties Eugene, LLC",Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Hustle and Muscle Fitness LLC / Edgewood Shopping Center, LLC",Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,Perfect Eyebrow Threading LLC / Perfect Eyebrow Threading,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"G&B LLC / RSM Investments, INC",Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,"Sempre Avanti DBA barre3 Eugene / McKay Investment Company, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Thabet Management, Inc. / New Pacific Corp",Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"ERHCO Burch's LLC / McKay Investment Company, LLC",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"Johnny Oceans GAH.inc / McKay Investment Company, LLC",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,"In Shape Athletic Club / Cascade West Properties, LLC",Commercial Rent Relief,Grant,32000,Commercial Rent Relief and Operational Assistance
FY2021,"Xin Wang Corporation / LMC Portland, LLC",Commercial Rent Relief,Grant,25000,Commercial Rent Relief and Operational Assistance
FY2021,"Essig Entertainment, Inc. / Whittier Wood Products",Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"Cowfish LLC / Diamond Parking, inc.",Commercial Rent Relief,Grant,45000,Commercial Rent Relief and Operational Assistance
FY2021,Jessica Crowder LLC / Integrated Health,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Adlib Advertising Agency, LTD / VROP, LLC",Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Luxe nails & spa llc / Diamond Parking, inc.",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"NAILS UNCORKED, LLC / McKay Land Development Company",Commercial Rent Relief,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,Green Valley Group LLC dba Wildtime Foods / New Pacific Corp,Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,"Best of the Best, Inc. / Harmony Cedar Delta Trend Holdings LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Benevolent Fish LLC / Ferry Foods LLC,Commercial Rent Relief,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,Busy 4 Bea LLC / Harmony Cedar Delta Trend LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Emerald Valley Poker, LLC / Harmony Cedar Delta Trend Holdings LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,a better bar LLC / Ferry Foods LLC,Commercial Rent Relief,Grant,25000,Commercial Rent Relief and Operational Assistance
FY2021,Jasper's Deli / Harmony Cedar Delta Trend Holdings LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,BARRETO LLC / Roadway Inn,Commercial Rent Relief,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,"Eugene Southpaws, LLC / HAWKINS-SMITH & SANDQUIST L.L.C.",Commercial Rent Relief,Grant,38000,Commercial Rent Relief and Operational Assistance
FY2021,"NORTHWEST POOL & SPA, LLC / McKay Investment Company, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"McMenamins Inc. / Northbank Property, LLC",Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,"Off The Waffle LLC / Cuddeback Commercial Holdings, LLC.",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Big City Gaming, LLC / Divine & Hammer, LLC",Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Mental Mansion LLC / Midtown LLC,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Black wolf supper club / Growers Market, Inc.",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Strength Lab Eugene, LLC / Eugene Planing Mill LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Aikya International, LLC / Hood Family LLC",Commercial Rent Relief,Grant,47000,Commercial Rent Relief and Operational Assistance
FY2021,"Aikya International, LLC / Hood Family LLC",Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,"Beauty Management Inc / Delta Oaks East Properties, LLC.",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"94 West Inc. / Diamond Parking, inc.",Commercial Rent Relief,Grant,62000,Commercial Rent Relief and Operational Assistance
FY2021,"DJ Burgers, Inc. / Broadway & Pearl Associates LLC",Commercial Rent Relief,Grant,51000,Commercial Rent Relief and Operational Assistance
FY2021,"RAJAN AND SAJAN INC. / Broadway & Pearl Associates, LLC",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,Cycle Parts / Lulu LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Crescent Automotive LLC / Furtick & Hammer LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Cura Point LLC dbs Chi Spa / Furtick & Hammer LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Train 2 Gain LLC / Lulu LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Diana Piwetz LMT / Oak Investments Inc.,Commercial Rent Relief,Grant,500,Commercial Rent Relief and Operational Assistance
FY2021,Mad Ventures LLC / Lulu LLC,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Center for Healing & Integrative Medicine (CHIME) / Oak Investments, Inc.",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Eugene Music / Lulu LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Free Motion Bodywork / Oak Investments, Inc.",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Float Om LLC / Oak Investments, Inc.",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Vibe Real Estate LLC abn Harcourts West Real Estate / Furtick & Hammer LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Threshold Fitness / Furtick & Hammer LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Master cleaners LLC / Gilbert Center, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Edge of the World Games & Comics LLC / Gilbert Center, LLC",Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Beauty Management Inc / Cp,Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,"GAKK, INC / Diamond Parking, inc.",Commercial Rent Relief,Grant,83000,Commercial Rent Relief and Operational Assistance
FY2021,"gilt+gossamer / Obie Companies, Inc.",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Sanctum Cafe LLC / Mormar Properties, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Kkoki Korean BBQ Eugene LLC / Santa Clara Square LLC/Cornell, LLC",Commercial Rent Relief,Grant,63000,Commercial Rent Relief and Operational Assistance
FY2021,Shari's Management Corporation / Gerald V. Miller,Commercial Rent Relief,Grant,90000,Commercial Rent Relief and Operational Assistance
FY2021,"I Zuniga LLC / Santa Clara Square LLC/Cornell, LLC",Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,National Photocopy Corporation dba National Business Solutions /,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Scott M. Vaughan, D.C., P.C. / Bell Real Estate, Inc.",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Staszak Physical Therapy Inc. / TABASCO INVESTMENTS LLC,Commercial Rent Relief,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,Tsunami Books Incorporated / Morgan Dollar LLC,Commercial Rent Relief,Grant,23000,Commercial Rent Relief and Operational Assistance
FY2021,"RNRRESTAURANTS, LLC / Lane Council of Governments",Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,ShehaylaM. Jones / Willamette Towers,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,Pastini Eugene LLC / McKay Investment Company,Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,Miok's Alteration & Boutique LLC / McKay Investment Company,Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,Duer's ATA Martial Arts / Income Property Management Co.,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Project Five Corners / Kirby Flannel, LLC",Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,"Sani Products, Inc. / Marion E Shiflet Trust",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Chapala Mexican Restaurant, Oakway, Inc. / McKay Investment Company",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"Core Fusion Wellness And Performance Center / Riviera Shopping Center, LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Ad Venture Productions, LL / McKay Investment Company",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Honeycomb Salon and Spa / Willcox venture, LLC",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"GKMiller, Inc / City of Eugene - Finance",Commercial Rent Relief,Grant,26000,Commercial Rent Relief and Operational Assistance
FY2021,Bangers & Brews Eugene LLC / Oasis Plaza LLC,Commercial Rent Relief,Grant,53000,Commercial Rent Relief and Operational Assistance
FY2021,Hard Core Yoga / Oasis Plaza LLC,Commercial Rent Relief,Grant,24000,Commercial Rent Relief and Operational Assistance
FY2021,ABC Cleaners / Oasis Plaza LLC,Commercial Rent Relief,Grant,38000,Commercial Rent Relief and Operational Assistance
FY2021,Salon Nevaeh / Oasis Plaza LLC,Commercial Rent Relief,Grant,29000,Commercial Rent Relief and Operational Assistance
FY2021,McKenzie Honey Farm and Gifts / Oasis Plaza LLC,Commercial Rent Relief,Grant,28000,Commercial Rent Relief and Operational Assistance
FY2021,Brighter Smiles llc / Duyck & Hammer LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Pepperberries Inc. / Oasis Plaza LLC,Commercial Rent Relief,Grant,27000,Commercial Rent Relief and Operational Assistance
FY2021,"Rainbow Optics, P.C. / Oasis Plaza LLC",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,B-Fit Fitness LLC / Huffco LLC,Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,"AirFair LLC / Santa Clara Square LLC/Cornell, LLC",Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
